Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,ma_10,ma_20,ma_50,volatility_14,volatility_annualized,rsi,volume_change,volume_ma_20,volume_ratio,high_20,low_20,price_position,hour,day_of_week,day_of_month,month,williams_r,cci,adx,volatility_regime,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,volume_roc,volume_ma_50,volume_ratio_50,volume_trend,trend_strength,market_regime,data_quality_flag,processing_timestamp,silver_processing_timestamp
2025-08-12 08:00:00+00:00,BTC,crypto,1h,yahoo_finance,118984.25,119051.3828125,118747.390625,118807.8359375,0,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0016880327250161,-200.890625,303.9921875,176.4140625,118922.49375,119230.11796875,,0.002283698690629,0.2137424858467011,34.69232839291789,,514042265.6,0.0,120761.953125,118244.21875,0.223858876097682,8,1,12,8,-62.955717131883254,-17.89136161223038,,normal,-0.00011887533153431828,-0.000721889813698362,-0.00606378487050474,,120761.953125,118244.21875,0.22385887609768207,,,,-1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 09:00:00+00:00,BTC,crypto,1h,yahoo_finance,118813.5546875,118883.609375,118427.9921875,118427.9921875,0,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0031971270834343,-379.84375,455.6171875,385.5625,118892.509375,119150.440625,,0.0018711462143016,0.1751296897741476,38.84448108246397,,415143116.8,0.0,120761.953125,118244.21875,0.0729915909020386,9,1,12,8,-82.29582966425072,-162.42304066340415,,normal,-0.0056109430412039085,-0.002525471365938503,-0.013277174142635961,,120761.953125,118244.21875,0.07299159090203866,,,,-1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 10:00:00+00:00,BTC,crypto,1h,yahoo_finance,118457.6640625,118613.609375,118233.9140625,118488.03125,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0005069668191701,60.0390625,379.6953125,30.3671875,118841.05859375,119063.36328125,,0.0018635158706074,0.1744155287354035,42.521299536889735,,328280473.6,0.0,120761.953125,118233.9140625,0.1005194861382803,10,1,12,8,-75.75976629454638,-173.84981435481066,,normal,-0.002409377351905495,-0.004323502813917135,-0.014485178291063772,,120761.953125,118233.9140625,0.10051948613828035,,,,-1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 11:00:00+00:00,BTC,crypto,1h,yahoo_finance,118445.1328125,118629.5234375,118248.375,118538.09375,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0004225110289357,50.0625,381.1484375,92.9609375,118793.31796875,118975.3328125,,0.0018316344312261,0.171431589508357,46.7495735772988,,328280473.6,0.0,120761.953125,118233.9140625,0.1203223842590446,11,1,12,8,-70.98430536717692,-137.30109284151,,normal,-0.002836481196548113,-0.004011294747322869,-0.014635314673098199,,120761.953125,118233.9140625,0.12032238425904465,-1.0,,,-1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 12:00:00+00:00,BTC,crypto,1h,yahoo_finance,118503.2734375,119243.5625,118287.1328125,119225.609375,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0057999551304577,687.515625,956.4296875,722.3359375,118806.396875,118935.330078125,,0.0023891366126302,0.2236109346239106,55.50516842402585,,265135308.8,0.0,120147.4765625,118233.9140625,0.5182455825195152,12,1,12,8,-5.40220291237536,37.85851636938749,,normal,0.0018224110009790184,0.0010981927018891557,-0.006665696822001244,,120147.4765625,118233.9140625,0.5182455825195152,,,,-1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 13:00:00+00:00,BTC,crypto,1h,yahoo_finance,119261.984375,119619.734375,118695.375,118814.625,316956672,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0034471149038738,-410.984375,924.359375,447.359375,118805.66328125,118899.53203125,,0.0025520493193023,0.238858728495753,51.3311174005047,inf,196310630.4,1.6145670326368633,119860.6015625,118233.9140625,0.3569898566872863,13,1,12,8,-58.096231361163575,79.99308161038886,,normal,5.714322162697627e-05,-6.173890282668015e-05,-0.005989771838601721,,119860.6015625,118233.9140625,0.3569898566872863,inf,,,1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 14:00:00+00:00,BTC,crypto,1h,yahoo_finance,118824.1484375,119405.96875,118773.8828125,119393.4765625,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0048718881408749,578.8515625,632.0859375,569.328125,118835.3875,118881.7078125,,0.0028052211975661,0.2625543179483515,55.48429239037991,-1.0,143158067.2,0.0,119765.6875,118233.9140625,0.757006533480902,14,1,12,8,-16.326634157341378,122.16472431544967,,normal,0.008152501424421699,0.0024958151620819713,-0.0029769059815063503,,119765.6875,118233.9140625,0.757006533480902,,,,-1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 15:00:00+00:00,BTC,crypto,1h,yahoo_finance,119449.7890625,119922.3984375,119377.3359375,119922.3984375,1478017024,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0044300734866624,528.921875,545.0625,472.609375,118950.20703125,118925.76875,,0.0030194754655088,0.2826074186578511,61.11363222946645,inf,217058918.4,6.809289546335452,119922.3984375,118233.9140625,1.0,15,1,12,8,-0.0,245.15797445922396,26.838216925433006,normal,0.012105587141317375,0.009667042861921882,0.007402637913311416,,119922.3984375,118233.9140625,1.0,inf,,,1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 16:00:00+00:00,BTC,crypto,1h,yahoo_finance,119931.0390625,120191.6953125,119541.3515625,119632.25,685391872,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.002419468266816,-290.1484375,650.34375,298.7890625,119025.90390625,118963.146875,,0.003120983333467,0.2921080345313139,56.2623693424198,-0.536276063894647,201938944.0,3.3940549476182267,120191.6953125,118233.9140625,0.7142452393493911,16,1,12,8,-28.575476065060894,194.42304760498976,26.762544304192925,normal,0.009230418807878005,0.006367755701945033,0.006288131093417748,,120191.6953125,118233.9140625,0.7142452393493911,inf,,,1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-12 17:00:00+00:00,BTC,crypto,1h,yahoo_finance,119648.8671875,119823.9296875,119235.515625,119235.515625,0,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0033162828167153,-396.734375,588.4140625,413.3515625,119048.5828125,118989.8296875,,0.0031981872794411,0.2993339279459681,54.683709168514426,-1.0,197987532.8,0.0,120191.6953125,118233.9140625,0.5116003447780492,17,1,12,8,-48.83996552219509,90.93581238033742,25.834473329262227,normal,8.308827316483303e-05,0.001905650695126937,0.004495769929888649,,120191.6953125,118233.9140625,0.5116003447780492,,,,-1,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
